Name,SP,Ast,Ast/S,BHA,BHE,D,DE,D/S,D/M,Ast,Ast/S,BHA,BHE,A,A/S,Ace %,SA,SE,Serv %,PTS,BS,BA,Tot Blks,B/S,B/M,BE,K,K/S,Kill %,Att,E,Hit %
Arun,74,6,0.1,7,1,333,75,4.5,15.1,6,0.1,7,1,54,0.7,16.3,332,31,90.7,197,1,3,4,0.1,0.2,2,156,2.1,25.3,616,87,0.112
Layno,71,402,5.7,1533,33,191,52,2.7,9.1,402,5.7,1533,33,49,0.7,16.8,291,16,94.5,178,,0,0,0,0,0,5,0.1,6.8,74,12,-0.095
Sanford,74,0,0,0,0,33,17,0.4,1.5,0,0,0,0,16,0.2,8.4,191,15,92.1,100,15,15,30,0.4,1.4,9,83,1.1,31.9,260,32,0.196
Collier,69,3,0,3,0,75,28,1.1,3.4,3,0,3,0,5,0.1,10.6,47,9,80.9,23,3,5,8,0.1,0.4,4,90,1.3,23.3,386,67,0.06
Ulak,74,3,0,4,1,180,42,2.4,8.2,3,0,4,1,47,0.6,21.2,222,30,86.5,118,18,13,31,0.4,1.4,20,2,0,7.4,27,7,-0.185
Okonkwo,74,2,0,4,2,18,3,0.2,0.8,2,0,4,2,0,0,0,0,0,0,0,0,4,4,0.1,0.2,6,61,0.8,34.1,179,39,0.123
Donlon,74,0,0,2,2,119,32,1.6,5.4,0,0,2,2,3,0,9.1,33,5,84.8,19,0,0,0,0,0,0,140,1.9,28.6,489,84,0.115
Ellis,8,0,0,1,1,1,2,0.1,0.2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.3,14.3,14,3,-0.071
Wilkins,64,13,0.2,14,1,314,93,4.9,16.5,13,0.2,14,1,27,0.4,9.9,273,9,96.7,168,0,0,0,0,0,0,6,0.1,13.3,45,6,0
Todd,9,0,0,0,0,2,1,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0,2,0.2,28.6,7,1,0,2,0.2,28.6,7,1,0.143
Woods,64,223,3.5,880,18,137,39,2.1,7.2,223,3.5,880,18,43,0.7,19.3,223,38,83,132,128,2,28.9,443,58,13,128,2,28.9,443,58,0.158